id,expression
AB001516_at,4.348450457
AB003731_f_at,9.263387271
AB003732_f_at,9.537261776
AB004109_at,5.845782709
AB006130_at,4.408673108
AB007021_at,3.92297885
AB007622_at,5.134554637
AB014875_at,6.071061149
AB015640_at,3.804138605
AB016530_at,5.048169042
AB016930_at,6.345979352
AB017263_at,6.348649281
AB017635_at,4.638670451
AB020230_at,4.444254491
AB020230-rc_at,3.125026354
AB020232_s_at,4.150874962
AB020232_x_at,3.918087088
AB020233_at,3.907649779
AB022191_at,4.764866631
AB024425_at,5.209303575
AB027759_at,5.300165824
AB028235_at,2.906873443
AB028497_at,5.321588768
AB028636_at,4.689149792
AB028638_at,4.596086908
AB033705_at,5.230989669
AB035211_at,3.975926402
AB035308_at,5.020271934
AB041733_at,4.105210931
AB045204_at,6.448178831
AB046957_at,3.921301794
AB046958_x_at,4.426936019
AB048195_at,4.905614149
AB056121_at,4.575064733
AB056577_x_at,5.934783907
AB059273_at,2.787241098
AB065000_s_at,6.16954185
AC000023_at,3.547673325
AC084885_at,4.716365249
AF000358_at,3.919634605
AF000359_at,3.981332362
AF004368_at,6.967586439
AF004814_at,6.826900083
AF004830_at,6.016949713
AF004831_at,5.971247872
AF005245_at,4.654303325
AF017636_at,4.639653367
AF019611_at,3.616111306
AF019995_at,4.642264046
AF019997_at,3.257109262
AF019998_at,2.587128429
AF020767_at,4.01853351
AF020900_at,4.635487974
AF022938_x_at,5.631334058
AF022941_x_at,7.618400738
AF022942_at,6.314029016
AF022944_at,4.262364148
AF022945-rc_f_at,5.813440573
AF022945-rc_x_at,6.517516575
AF028017_at,5.088690558
AF030413_at,6.460595003
AF030865_x_at,2.374979224
AF030866_at,4.033761067
AF031656_at,4.589461653
AF033012_at,6.199189309
AF033379_f_at,3.501921472
AF034203_at,5.410248959
AF034482_at,3.349272994
AF039202_at,5.291607606
AF043911_at,2.525498825
AF046210_at,3.698758919
AF046211_at,4.530664109
AF046212_at,3.946033042
AF046870_at,6.416364981
AF046919_at,4.839929195
AF047166_x_at,4.239452127
AF049346_at,4.865567816
AF052838_x_at,4.570832921
AF052840_x_at,5.02597407
AF052846_f_at,4.565575232
AF055671_at,5.384419892
AF056934_at,8.099334004
AF061256_at,5.323290929
AF061881_at,4.17048227
AF063903_f_at,4.017858447
AF063903_x_at,5.076232848
AF070917_at,4.846439681
AF070995_at,4.370907927
AF071553_x_at,3.59344538
AF072727_at,6.896456304
AF078105_at,5.803534605
AF080001_at,6.724470137
AF081139_x_at,4.661250758
AF081140_at,9.822295018
AF081141_at,5.288257091
AF081142_at,10.85578715
AF081143_at,11.43916128
AF090422_at,5.036576094
AF090449_at,5.575502547
AF092100_at,5.176241643
AF093673_at,6.177125839
AF097940_at,4.713727157
AF097941_f_at,4.933815979
AF097941_x_at,5.447649544
AF100413_at,8.587547147
AF100706_at,10.25369271
AF100738_at,8.030079758
AF104239_at,4.70406806
AF104240_at,4.619840367
AF104241_at,4.80533827
AF104242_at,5.633221749
AF106914_at,4.068189156
AF106915_at,6.636849276
AF110498_at,6.227456275
AF113614_at,4.502651677
AF115410_s_at,6.786121632
AF115410_x_at,6.604630028
AF116857_at,5.519983033
AF120325_f_at,7.949552547
AF120325_x_at,5.444341832
AF121895_at,6.761851076
AF122822_at,2.779377312
AF125191_at,5.007355661
AF126487_at,4.884426276
AF127523_at,5.067178954
AF133045_at,4.346762457
AF133046_f_at,7.940511024
AF133046_x_at,4.609119319
AF133047_x_at,2.400565738
AF133048_at,3.691647688
AF134594_at,4.638663933
AF141657_at,7.156714064
AF144573_at,5.68900109
AF149011_at,4.478965586
AF149012_at,4.870585405
AF153676_at,5.151622188
AF155144_at,4.945470985
AF155145_at,5.190478491
AF157566_at,5.111136307
AF172992_at,6.534120348
AF176577_at,4.061371687
AF180918_at,6.443179555
AF181258_at,5.815937907
AF182744_at,4.637981757
AF190271_x_at,4.686541989
AF193761_at,3.421285538
AF212039_at,5.37418714
AF218213_at,4.60366675
AF218725_at,5.983134439
AF220495_at,4.963600186
AF221505_at,5.650081773
AF221841_at,10.20178008
AF221928_at,4.968823649
AF230460_x_at,2.015106018
AF238445_at,3.124576192
AF242536_at,6.033783411
AF249882_at,5.350514081
AF250376_at,5.567519214
AF250376_g_at,6.426956103
AF252858_at,5.678815023
AF254572_at,4.45077467
AF254573_at,5.947486144
AF260254_at,5.27283891
AF260753_at,6.992923473
AF271264_at,5.911750839
AF271265_at,4.135312866
AF271694_at,5.664812805
AF281019_at,5.303712476
AF283504_x_at,7.464724841
AF284085_at,4.439055867
AF284086_at,3.615054835
AF284087_x_at,4.904614227
AF284088_at,4.316730094
AF284089_f_at,7.99226623
AF284089_x_at,3.357857481
AF284090_s_at,6.343887816
AF284090_x_at,4.883347598
AF284091_f_at,6.024336364
AF284091_x_at,3.143543277
AF284092_s_at,6.445236925
AF284092_x_at,3.820224353
AF288468_at,5.25707789
AF291998_at,6.874592971
AF292400_at,4.286434945
AF298187_at,3.906259029
AF298188_at,4.989047002
AF299335_at,6.258617932
AF306648_at,4.750122934
AF306662_at,4.867069051
AF306800_at,3.793499425
AF306801_x_at,2.048920682
AF306802_at,3.131074926
AF307317_at,4.500341294
AF307318_at,4.01221259
AF307319_at,3.360614573
AF307321_at,5.117798755
AF307847_at,4.158737567
AF308634_at,5.323712583
AF314658_x_at,3.021688105
AF314660_x_at,5.541265742
AF314661_at,5.746992138
AF315291_x_at,5.890593541
AF318896_at,3.896505917
AF320819_at,8.582448792
AF321216_at,3.24244233
AF321217_at,4.936848807
AF321218_at,3.4151228
AF323965_at,4.650796813
AF325501_at,3.862554975
AF327897_at,4.009424242
AF329455_at,4.486155456
AF334110_at,5.384210257
AF336045_at,6.454937191
AF345330_at,4.965926663
AF345331_at,4.746149241
AF351131_at,3.805763451
AF356542_at,3.954437554
AF371372_at,4.237418593
AF371373_at,5.112786277
AF380301_at,4.194715381
AF380341_at,6.201278756
AF380348_at,5.174328521
AF393639_at,4.073752105
AF414605_at,5.25275796
AJ000678_at,3.972332414
AJ003143_at,3.850685794
AJ003192_at,3.979639233
AJ009566_at,5.266297151
AJ009567_at,4.952959458
AJ009568_at,3.77497331
AJ009569_x_at,3.674618901
AJ009938_at,3.254528255
AJ009938-rc_at,3.784515537
AJ132914_at,3.669632177
AJ223076_at,4.828810835
AJ223950_at,5.244720367
AJ225170_f_at,3.842687561
AJ225170_x_at,2.655300113
AJ242835_at,4.49657819
AJ245699_at,5.035735619
AJ245700_at,4.756888959
AJ251361_at,4.565403701
AJ286821_at,5.34719583
AJ291438_at,4.419603543
AJ298842_at,6.373138762
AJ299085_at,4.74142769
AJ302037_at,4.90355413
AJ303074_at,9.027809504
AJ401300_at,4.29882318
AJ401301_at,6.930736435
AJ401302_at,3.813630316
AY007214_at,4.372886177
AY007988_at,4.61036795
AY007989_at,3.414977949
AY011213_at,4.710528266
AY011463_at,4.341260505
AY011521_x_at,4.598061135
AY011581_at,5.020036534
AY011645_at,5.016870673
AY011768_at,2.948656501
AY011885_at,4.508068698
AY011942_at,4.478925852
AY012002_at,3.909642901
AY012055_at,3.958991685
AY029606_f_at,3.190967164
AY029611_f_at,3.193523405
AY038070_x_at,5.275287355
AY040534_at,4.399718883
AY046321_at,5.116565113
BI431000_at,3.055105487
BI431001_at,3.356224393
BI431002_at,3.811349017
BI431005_x_at,3.15250566
BI431006_x_at,2.583918073
BI431007_x_at,1.933427096
BI431008_at,5.630669734
D10878_at,4.982894901
D10913_s_at,4.475260923
D10914_s_at,4.368989418
D11437_at,4.110524091
D11452_at,5.514414527
D15058_at,8.518496365
D17295_at,3.712799012
D17313_at,5.133660413
D17449_at,4.452363922
D21216_at,4.590670192
D23671_at,4.975245535
D26114_at,4.634452583
D28566_at,4.781739801
D30051_at,4.330278884
D31814_at,5.088991988
D38103_at,5.507101281
D43757_at,4.266294006
D45419_at,5.596328089
D49709_at,5.068469314
D50577_at,4.61825543
D50578_at,4.339724845
D63782_at,4.415066048
D83230_at,5.845543362
D85517_at,5.087643472
D86466_at,5.571372487
D86467_at,5.278858481
D86525_at,5.246322367
D86951_at,3.708694298
D89285_at,5.067109513
D89286_at,3.679126332
D89287_at,4.731139698
E01536_at,3.550536494
E11160_at,4.357115421
J00059_at,3.771979936
J00061_at,8.386758994
J02686_x_at,2.92138098
J03847_at,3.775415371
J04084_at,4.648284503
J04122_at,4.297429467
J04123_at,4.888460572
J05281_at,4.952957326
J05613_at,4.951224676
K00922_at,4.519293589
K00923_at,5.880406452
K00924_at,6.572301813
K00925_at,3.435505077
K00926_x_at,3.171744577
K00927_at,4.592523077
K02407_at,5.325540433
L00169_at,3.681477674
L00170_x_at,4.83227398
L00171_at,5.575208454
L00173_at,5.694903651
L00176_at,5.645878169
L00178_at,5.798028441
L00179_at,5.610474292
L00180_at,4.735164293
L00181_at,4.911201143
L00182_at,4.845798498
L00183_s_at,5.646575299
L00325_x_at,6.411235159
L00327_x_at,7.630598196
L00328_at,7.920209816
L00329_at,6.736103256
L00330_x_at,7.786594388
L00331-rc_x_at,5.307486838
L00332_at,6.082690268
L00333_x_at,5.912419754
L00334_at,7.156804932
L00365_at,6.071703757
L00366_x_at,8.287124474
L00367_x_at,6.090495449
L00368_x_at,7.929060068
L00369_at,7.389025755
L03277_at,3.879923839
L03286_f_at,5.728400732
L03286_x_at,6.553126654
L03287_f_at,5.239076951
L03287_x_at,7.155800284
L04690_at,3.072326451
L06008_at,5.161465147
L06092_at,4.763914205
L06863_at,6.429039532
L06947_at,5.290682905
L06948_at,5.241496619
L12055_at,3.63978914
L13244_at,4.479148818
L13383_at,4.356281358
L13384_at,3.952426045
L15625_at,5.649843385
L18986_at,7.219499576
L19142_f_at,4.433007205
L22614_at,3.509790344
L25339_at,3.729783673
L27428_at,3.046353849
L27428-rc_at,4.313436655
L28124_at,5.907118512
L28147_at,5.608465439
L29424_x_at,6.088312711
L29528_at,5.192858815
L29564_at,5.531611694
L31957_at,3.606540763
L32978_at,2.232845989
L33676_at,8.50814319
L35922_at,4.752885101
L37748_at,4.963619499
L38709_at,4.342501313
L38710_s_at,4.588982093
L38710_x_at,4.275538862
L40623_at,5.117477444
L42570_s_at,5.826549748
L47236_x_at,5.757580147
M10134_at,5.112049371
M10215_x_at,5.465604018
M11869_at,5.123755947
M12015_at,4.18975731
M12016_at,3.476019582
M12103_x_at,6.488763213
M12104_at,5.996510124
M12329_at,8.705787504
M12329_g_at,10.14106405
M12995_at,4.906762268
M14055_at,5.074020729
M14147_at,4.627830748
M14148_s_at,4.579339994
M14148_x_at,2.643114245
M16963_x_at,3.444852497
M17290_f_at,5.463007924
M17290_x_at,3.755767275
M19147_at,3.726730285
M19538_f_at,6.311281291
M21955_x_at,4.488391193
M22088_at,4.846871089
M22350_at,9.68854465
M22374_at,2.941808818
M23160_at,4.170710252
M25789_f_at,5.446408147
M25789_x_at,2.446112149
M25790_s_at,4.440580267
M25790_x_at,3.285405606
M25791_f_at,4.519846418
M25791_x_at,4.646594525
M25794_x_at,2.622921493
M25798_x_at,3.001253037
M25799_x_at,3.912593444
M25895_x_at,3.654224318
M26164_at,6.600014057
M26328_at,5.028699287
M26640_at,8.654354793
M26642_at,3.27748975
M27146_at,3.616083928
M27241_at,3.574002831
M27838_s_at,5.34487885
M27838_x_at,3.883024136
M29238_at,5.320407655
M29894_at,4.41893336
M29895_at,2.865197857
M31610_at,4.813931953
M31621_f_at,5.186943609
M31621_x_at,5.901485916
M33067_x_at,4.564026301
M33068_f_at,3.016769359
M33068_x_at,3.235326672
M33579_at,4.436781298
M34562_at,3.344204599
M34665_at,8.825872496
M35008_at,4.349297834
M55438_at,4.422315945
M55439_at,4.251564179
M57970_at,4.297907991
M58148_at,3.595833624
M58164_at,4.581770069
M59252_f_at,4.430786102
M59772_at,4.538764166
M60771_at,3.994106602
M60773_at,3.145062524
M60973_at,6.86288495
M63311_at,5.693087677
