ID	Gene Symbol	Gene Name	GB_ACC	SPOT_ID
WAN0088IF_at	NA	WAN0088IF 10595A-H12		WAN0088IF_at
WAN0088IG_at	KIAA0690	KIAA0690		WAN0088IG_at
WAN0088II_at	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2		WAN0088II_at
WAN0088IL_x_at	5830404H04Rik	RIKEN cDNA 5830404H04 gene		WAN0088IL_x_at
WAN0088IO_x_at	CCNL1	Cyclin L1		WAN0088IO_x_at
WAN0088IR_at	NQO1	"NAD(P)H dehydrogenase, quinone 1"		WAN0088IR_at
WAN0088IT_at	Lrrfip2	Leucine rich repeat (in FLII) interacting protein 2		WAN0088IT_at
WAN0088IV_x_at	Mm.393149	"Transcribed locus, moderately similar to XP_223768.3 PREDICTED: similar to OTTHUMP00000060196 [Rattus norvegicus]"		WAN0088IV_x_at
WAN0088IY_at	NA	WAN0088IY 10595A-F08		WAN0088IY_at
WAN0088IZ_x_at	EIF5B	Eukaryotic translation initiation factor 5B		WAN0088IZ_x_at
WAN0088J0_at	Ywhab	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"		WAN0088J0_at
WAN0088J1_at	Mrpl16	Mitochondrial ribosomal protein L16		WAN0088J1_at
WAN0088J2_at	CUEDC2	CUE domain containing 2		WAN0088J2_at
WAN0088J5_at	Cd164	CD164 antigen		WAN0088J5_at
WAN0088J7_at	BCLAF1	BCL2-associated transcription factor 1		WAN0088J7_at
WAN0088J9_x_at	NA	WAN0088J9 10595A-E01		WAN0088J9_x_at
WAN0088JB_at	NA	WAN0088JB 10595A-D10		WAN0088JB_at
WAN0088JC_at	MTRF1	Mitochondrial translational release factor 1		WAN0088JC_at
WAN0088JD_at	Prmt4	Protein arginine N-methyltransferase 4		WAN0088JD_at
WAN0088JE_at	Ctsl	Cathepsin L		WAN0088JE_at
WAN0088JF_at	NA	WAN0088JF 10595A-C11		WAN0088JF_at
WAN0088JH_at	NA	WAN0088JH 10595A-C08		WAN0088JH_at
WAN0088JI_at	Rab11a	"RAB11a, member RAS oncogene family"		WAN0088JI_at
WAN0088JJ_at	Ak2	Adenylate kinase 2		WAN0088JJ_at
